"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-39.043739,-16.401033,NA,"Pomacanthus paru"
"gbif",-70.051401,12.56622,NA,"Pomacanthus paru"
"gbif",-74.406333,11.034533,20.5,"Pomacanthus paru"
"gbif",-74.455717,11.073367,23.5,"Pomacanthus paru"
"gbif",-72.39788,18.231003,NA,"Pomacanthus paru"
"gbif",-67.0779,17.9412,2.44,"Pomacanthus paru"
"gbif",-67.01861,17.93498,7.62,"Pomacanthus paru"
"gbif",-67.16267,18.45713,6.71,"Pomacanthus paru"
"gbif",-66.08705,18.45372,4.88,"Pomacanthus paru"
"gbif",-67.0779,17.9412,3.05,"Pomacanthus paru"
"gbif",-67.26918,18.35743,3.05,"Pomacanthus paru"
"gbif",-87.375118,20.278381,NA,"Pomacanthus paru"
"gbif",-64.868582,18.307271,NA,"Pomacanthus paru"
"gbif",-40.280414,-20.363028,NA,"Pomacanthus paru"
"gbif",-80.135816,25.778652,NA,"Pomacanthus paru"
"gbif",-80.117351,25.742968,NA,"Pomacanthus paru"
"gbif",-80.139928,25.684196,NA,"Pomacanthus paru"
"gbif",-80.133938,25.676855,NA,"Pomacanthus paru"
"gbif",-86.852606,20.872574,NA,"Pomacanthus paru"
"gbif",-86.725457,21.197996,NA,"Pomacanthus paru"
"gbif",-68.812788,18.333737,NA,"Pomacanthus paru"
"gbif",-86.601718,16.270633,NA,"Pomacanthus paru"
"gbif",-38.701805,-17.991167,NA,"Pomacanthus paru"
"gbif",-80.04268,26.78302,NA,"Pomacanthus paru"
"gbif",-61.77524,16.10183,NA,"Pomacanthus paru"
"gbif",-95.93807,19.101116,NA,"Pomacanthus paru"
"gbif",-79.869722,9.400833,NA,"Pomacanthus paru"
"gbif",-82.142522,9.255185,NA,"Pomacanthus paru"
"gbif",-67.27632,18.16637,31.5,"Pomacanthus paru"
"gbif",-67.26688,18.35072,4,"Pomacanthus paru"
"gbif",-67.27367,18.16304,11,"Pomacanthus paru"
"gbif",-67.27524,18.16517,18,"Pomacanthus paru"
"gbif",-67.27118,18.34652,18,"Pomacanthus paru"
"gbif",-67.26997,18.34732,11,"Pomacanthus paru"
"gbif",-68.283194,12.082344,NA,"Pomacanthus paru"
"gbif",-61.71057,15.95478,NA,"Pomacanthus paru"
"gbif",-66.85434,17.95632,3.66,"Pomacanthus paru"
"gbif",-67.26573,18.35065,2.44,"Pomacanthus paru"
"gbif",-66.08705,18.45372,7.62,"Pomacanthus paru"
"gbif",-67.16075,18.44494,11.28,"Pomacanthus paru"
"gbif",-66.08705,18.45372,7.01,"Pomacanthus paru"
"gbif",-67.01861,17.93498,11.28,"Pomacanthus paru"
"gbif",-67.16267,18.45713,7.31,"Pomacanthus paru"
"gbif",-66.0823,18.46118,2.13,"Pomacanthus paru"
"gbif",-67.16267,18.45713,7.62,"Pomacanthus paru"
"gbif",-74.470578,24.119964,NA,"Pomacanthus paru"
"gbif",-67.264306,18.349476,NA,"Pomacanthus paru"
"gbif",-67.264364,18.349512,NA,"Pomacanthus paru"
"gbif",-80.086446,19.691329,NA,"Pomacanthus paru"
"gbif",-82.142007,9.249933,NA,"Pomacanthus paru"
"gbif",-80.300227,27.496342,NA,"Pomacanthus paru"
"gbif",-66.95998,17.89755,18,"Pomacanthus paru"
"gbif",-67.23322,17.99116,11,"Pomacanthus paru"
"gbif",-67.3299,18.0017,4,"Pomacanthus paru"
"gbif",-66.9978,17.88827,18,"Pomacanthus paru"
"gbif",-61.467294,12.495749,NA,"Pomacanthus paru"
"gbif",-62.991217,17.480616,NA,"Pomacanthus paru"
"gbif",-62.987493,17.480679,NA,"Pomacanthus paru"
"gbif",-60.781968,11.247002,NA,"Pomacanthus paru"
